City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Chimbote,PE,67.62,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
323,Kanniyakumari,IN,81.0,broken clouds,8.0833,77.5667,Sparsa
324,Daru,PG,79.07,overcast clouds,-9.0763,143.2092,Daru Lodge
328,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
330,Kerkini,GR,68.16,broken clouds,41.2167,23.0833,Morfi Hotel
331,Catina,IT,72.73,broken clouds,37.5021,15.0872,Il Principe Hotel
333,Saurimo,AO,80.65,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
337,Mandera,KE,85.71,light rain,3.9366,41.867,Kornesh Hotel and Lodging
343,Mangan,IN,67.21,overcast clouds,27.5167,88.5333,Hotel Mout View
347,Victoria Point,AU,74.91,broken clouds,-27.5833,153.3,Bay Retreat Motel
350,Pemangkat,ID,79.81,overcast clouds,1.1667,108.9667,Ramah Kost KITA
351,Waddan,LY,89.6,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
353,Svay Rieng,KH,77.41,heavy intensity rain,11.0879,105.7993,Apsara guesthouse
354,Liwale,TZ,84.45,broken clouds,-9.7667,37.9333,Samoma lodge
358,Chau Doc,VN,78.89,moderate rain,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
359,Kununurra,AU,82.38,clear sky,-15.7667,128.7333,Hotel Kununurra
360,Mahina,PF,73.17,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
366,Dedza,MW,73.72,broken clouds,-14.3779,34.3332,Kapeleta Dedza Estates
369,San Antonio,US,79.36,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
370,Iguape,BR,75.96,few clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
373,Tomatlan,MX,82.31,overcast clouds,19.9333,-105.25,El Salvial
374,Mecca,SA,85.93,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
375,Sao Tome,ST,78.31,broken clouds,0.3365,6.7273,Pestana Miramar São Tomé
378,Lazaro Cardenas,MX,82.38,overcast clouds,17.9583,-102.2,quinta antigua
387,Turayf,SA,72.21,clear sky,31.6725,38.6637,Turaif
391,Sibolga,ID,77.94,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
394,Emilio Carranza,MX,81.34,scattered clouds,19.9711,-96.6114,casa carranza
395,Karratha,AU,81.32,broken clouds,-20.7377,116.8463,ibis Styles Karratha
