City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Port Lincoln,AU,-34.7333,135.8667,53.74,78,4,10.85,clear sky
184,Poyarkovo,RU,49.6,128.6833,38.59,75,1,6.29,clear sky
185,Morehead,US,37.2711,-87.1764,61.3,77,1,3.44,clear sky
186,Mbandaka,CD,0.0487,18.2603,76.8,91,75,2.06,light rain
187,Darab,IR,28.7519,54.5444,72.73,28,0,2.28,clear sky
188,Conde,BR,-7.2597,-34.9075,84.92,61,51,14.16,broken clouds
189,Bethel,US,41.3712,-73.414,56.12,71,78,6.96,broken clouds
190,Ixtapa,MX,20.7,-105.2,85.23,80,92,4.0,overcast clouds
191,Lata,PT,40.1629,-8.3327,75.34,44,100,3.56,overcast clouds
192,Natal,BR,-5.795,-35.2094,87.35,52,32,11.36,scattered clouds
193,Bella Union,UY,-30.2752,-57.6007,61.92,95,100,12.26,light rain
194,Bac Lieu,VN,9.285,105.7244,80.22,81,15,7.11,few clouds
195,Chimoio,MZ,-19.1164,33.4833,87.49,29,38,8.12,scattered clouds
196,Vilyuysk,RU,63.7553,121.6247,33.69,98,100,8.72,light rain
197,San Fernando,PH,15.0286,120.6898,80.15,86,100,4.29,overcast clouds
198,Kavieng,PG,-2.5744,150.7967,82.29,77,66,15.84,light rain
199,Ilulissat,GL,69.2167,-51.1,19.53,95,100,2.04,light snow
200,Souillac,MU,-20.5167,57.5167,75.36,79,4,11.07,clear sky
201,Colares,PT,38.7992,-9.4469,77.32,39,0,4.61,clear sky
202,Nakusp,CA,50.2499,-117.8023,48.47,99,100,1.12,overcast clouds
203,Harper,LR,4.375,-7.7169,79.38,84,100,8.32,light rain
204,Bintulu,MY,3.1667,113.0333,75.85,91,100,1.72,overcast clouds
205,Shizunai,JP,42.3339,142.3669,44.4,70,4,8.08,clear sky
206,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,93.79,46,9,4.79,clear sky
