City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Eyl,SO,2021-10-20 19:43:18,7.9803,49.8164,298.72,83,22,4.52
218,Baculin,PH,2021-10-20 19:43:19,7.4525,126.5842,298.59,82,100,2.18
219,Hithadhoo,MV,2021-10-20 19:38:21,-0.6,73.0833,300.4,77,100,5.09
220,Florenville,BE,2021-10-20 19:43:19,49.6998,5.3074,289.19,94,100,6.87
221,Shiraz,IR,2021-10-20 19:43:20,29.6036,52.5388,292.84,19,0,3.09
222,Turukhansk,RU,2021-10-20 19:43:20,65.8167,87.9833,274.94,98,100,3.6
223,Pala,TD,2021-10-20 19:43:21,9.3642,14.9046,297.68,76,100,2.22
224,Usinsk,RU,2021-10-20 19:43:21,65.9939,57.5281,272.77,91,98,7.14
225,Hasaki,JP,2021-10-20 19:39:03,35.7333,140.8333,283.37,56,100,6.62
226,Kununurra,AU,2021-10-20 19:43:22,-15.7667,128.7333,300.14,74,90,1.03
227,Serebryansk,KZ,2021-10-20 19:43:22,49.6925,83.2892,272.9,40,27,2.32
228,Roald,NO,2021-10-20 19:43:22,62.5833,6.1333,280.88,81,75,5.14
229,Broome,US,2021-10-20 19:43:23,42.2506,-75.833,295.47,52,40,0.89
230,Mehamn,NO,2021-10-20 19:43:23,71.0357,27.8492,272.25,69,0,5.14
231,Port Elizabeth,ZA,2021-10-20 19:39:04,-33.918,25.5701,291.31,88,40,5.66
232,Baiyin,CN,2021-10-20 19:43:24,36.5583,104.2081,275.64,43,8,1.53
233,Sukhodol,RU,2021-10-20 19:43:24,53.9006,51.2117,273.86,85,86,4.26
234,Tuktoyaktuk,CA,2021-10-20 19:43:25,69.4541,-133.0374,268.15,100,75,3.09
235,Manokwari,ID,2021-10-20 19:41:19,-0.8667,134.0833,298.69,82,100,2.36
236,Buchanan,LR,2021-10-20 19:43:25,5.8808,-10.0467,299.13,85,100,3.31
237,Leshukonskoye,RU,2021-10-20 19:43:26,64.8989,45.7622,271.87,78,100,2.89
238,Nikolskoye,RU,2021-10-20 19:39:43,59.7035,30.7861,281.09,94,100,6.54
239,Leningradskiy,RU,2021-10-20 19:43:26,69.3833,178.4167,269.18,96,100,6.7
240,Chumikan,RU,2021-10-20 19:43:27,54.7183,135.315,270.67,80,93,7.83
241,Georgetown,MY,2021-10-20 19:42:08,5.4112,100.3354,298.12,95,40,0.0
242,Airai,TL,2021-10-20 19:43:27,-8.9266,125.4092,289.57,81,100,0.54
243,Navahrudak,BY,2021-10-20 19:43:27,53.6,25.8333,284.88,74,100,7.91
244,Batticaloa,LK,2021-10-20 19:43:28,7.7102,81.6924,300.08,83,100,2.85
245,Togur,RU,2021-10-20 19:43:28,58.3631,82.8265,276.07,87,100,2.73
246,Asau,RO,2021-10-20 19:43:29,46.4333,26.4,281.66,73,15,3.26
247,Buala,SB,2021-10-20 19:43:29,-8.145,159.5921,300.18,80,97,1.53
248,Mount Pleasant,US,2021-10-20 19:40:42,32.7941,-79.8626,300.93,47,1,1.34
249,Gulfport,US,2021-10-20 19:40:28,30.3674,-89.0928,301.18,83,90,7.2
250,Lebu,CL,2021-10-20 19:43:29,-37.6167,-73.65,286.96,78,48,3.94
251,Edeia,BR,2021-10-20 19:43:30,-17.3383,-49.9314,299.84,62,100,2.08
252,Koslan,RU,2021-10-20 19:43:30,63.4564,48.8989,270.81,79,89,1.86
253,Bathsheba,BB,2021-10-20 19:43:31,13.2167,-59.5167,303.49,70,75,7.72
254,Turayf,SA,2021-10-20 19:43:31,31.6725,38.6637,290.29,51,0,3.09
255,Sangar,RU,2021-10-20 19:43:31,63.9242,127.4739,259.52,98,97,1.38
256,Tambacounda,SN,2021-10-20 19:43:32,13.7539,-13.7586,304.18,70,0,2.06
257,Grindavik,IS,2021-10-20 19:43:32,63.8424,-22.4338,275.12,75,0,1.54
258,Bafq,IR,2021-10-20 19:43:33,31.6128,55.4107,293.75,14,58,2.47
259,Dunedin,NZ,2021-10-20 19:43:33,-45.8742,170.5036,284.15,71,56,1.72
260,Upata,VE,2021-10-20 19:43:34,8.0086,-62.3989,304.37,37,12,2.43
261,Narsaq,GL,2021-10-20 19:43:34,60.9167,-46.05,274.27,37,0,1.82
262,Vanimo,PG,2021-10-20 19:43:34,-2.6741,141.3028,297.66,92,100,1.0
263,Norman Wells,CA,2021-10-20 19:43:35,65.282,-126.8329,275.17,60,75,5.14
264,Krasnoselkup,RU,2021-10-20 19:43:35,65.7,82.4667,275.07,64,99,4.77
265,Darnah,LY,2021-10-20 19:43:36,32.767,22.6367,293.37,71,85,4.68
266,Egvekinot,RU,2021-10-20 19:43:36,66.3167,-179.1667,266.71,88,100,3.25
267,Guider,CM,2021-10-20 19:43:37,9.9342,13.9486,297.98,79,100,1.37
268,Barcelos,PT,2021-10-20 19:43:37,41.5388,-8.6151,291.95,93,22,1.55
269,Salalah,OM,2021-10-20 19:43:38,17.0151,54.0924,299.2,78,20,2.57
270,Gornyak,RU,2021-10-20 19:43:38,50.9942,81.4661,282.48,36,84,6.23
271,Ponta Do Sol,PT,2021-10-20 19:43:38,32.6667,-17.1,297.6,79,100,2.8
272,Port Macquarie,AU,2021-10-20 19:43:39,-31.4333,152.9167,285.87,100,92,1.54
273,Robinson,US,2021-10-20 19:43:39,31.4677,-97.1147,302.6,61,90,1.79
274,Monte Alegre,BR,2021-10-20 19:43:39,-2.0078,-54.0692,305.53,49,46,1.99
275,Akureyri,IS,2021-10-20 19:43:40,65.6835,-18.0878,268.11,80,0,2.06
276,Manggar,ID,2021-10-20 19:43:40,-2.8833,108.2667,299.13,82,100,1.49
277,Kastamonu,TR,2021-10-20 19:43:41,41.5,33.6667,277.38,87,0,1.12
278,Abu Samrah,SY,2021-10-20 19:43:41,35.3029,37.1841,291.59,61,0,2.4
279,Omboue,GA,2021-10-20 19:43:41,-1.5746,9.2618,297.89,85,100,2.58
280,Kendal,GB,2021-10-20 19:43:42,54.3268,-2.7476,283.88,89,97,2.75
281,Berdigestyakh,RU,2021-10-20 19:43:42,62.0989,126.6992,272.2,89,97,4.04
282,Camopi,GF,2021-10-20 19:43:42,3.1655,-52.3158,303.85,51,98,2.22
283,Lucapa,AO,2021-10-20 19:43:43,-8.4192,20.7447,292.2,97,74,1.28
